SECTION,YEAR_RANGE,MAKE,MODEL,NOTES
"IN APP - HAS DROPDOWN","1940-2026","Chevrolet","Camaro",""
"IN APP - HAS DROPDOWN","1940-2026","Chevrolet","Caprice",""
"IN APP - HAS DROPDOWN","1940-2026","Chevrolet","Captiva Sport",""
"IN APP - HAS DROPDOWN","1940-2026","Chevrolet","Cavalier",""
"IN APP - HAS DROPDOWN","1940-2026","Chevrolet","Celebrity",""
"IN APP - HAS DROPDOWN","1940-2026","Chevrolet","Chevelle",""
"IN APP - HAS DROPDOWN","1940-2026","Chevrolet","Citation",""
"IN APP - HAS DROPDOWN","1940-2026","Chevrolet","City Express",""
"IN APP - HAS DROPDOWN","1940-2026","Chevrolet","Cobalt",""
"IN APP - HAS DROPDOWN","1940-2026","Chevrolet","Colorado",""
"IN APP - HAS DROPDOWN","1940-2026","Chevrolet","Corsica",""
"IN APP - HAS DROPDOWN","1940-2026","Chevrolet","Corvette",""
"IN APP - HAS DROPDOWN","1940-2026","Chevrolet","Cruze",""
"IN APP - HAS DROPDOWN","1940-2026","Chevrolet","El Camino",""
"IN APP - HAS DROPDOWN","1940-2026","Chevrolet","Equinox",""
"IN APP - HAS DROPDOWN","1940-2026","Chevrolet","Express",""
"IN APP - HAS DROPDOWN","1940-2026","Chevrolet","Express 3500 Cutaway",""
"IN APP - HAS DROPDOWN","1940-2026","Chevrolet","Express 4500 Cutaway",""
"IN APP - HAS DROPDOWN","1940-2026","Chevrolet","Express Cargo Van",""
"IN APP - HAS DROPDOWN","1940-2026","Chevrolet","G-Series Van",""
"IN APP - HAS DROPDOWN","1940-2026","Chevrolet","HHR",""
"IN APP - HAS DROPDOWN","1940-2026","Chevrolet","Impala",""
"IN APP - HAS DROPDOWN","1940-2026","Chevrolet","Lumina",""
"IN APP - HAS DROPDOWN","1940-2026","Chevrolet","Lumina APV",""
"IN APP - HAS DROPDOWN","1940-2026","Chevrolet","LUV",""
"IN APP - HAS DROPDOWN","1940-2026","Chevrolet","Malibu",""
"IN APP - HAS DROPDOWN","1940-2026","Chevrolet","Metro",""
"IN APP - HAS DROPDOWN","1940-2026","Chevrolet","Monza",""
"IN APP - HAS DROPDOWN","1940-2026","Chevrolet","Nova",""
"IN APP - HAS DROPDOWN","1940-2026","Chevrolet","S-10",""
"IN APP - HAS DROPDOWN","1940-2026","Chevrolet","Silverado",""
"IN APP - HAS DROPDOWN","1940-2026","Chevrolet","Silverado 1500",""
"IN APP - HAS DROPDOWN","1940-2026","Chevrolet","Silverado 2500HD",""
"IN APP - HAS DROPDOWN","1940-2026","Chevrolet","Silverado 3500HD",""
"IN APP - HAS DROPDOWN","1940-2026","Chevrolet","Sonic",""
"IN APP - HAS DROPDOWN","1940-2026","Chevrolet","SS",""
"IN APP - HAS DROPDOWN","1940-2026","Chevrolet","SSR",""
"IN APP - HAS DROPDOWN","1940-2026","Chevrolet","Suburban",""
"IN APP - HAS DROPDOWN","1940-2026","Chevrolet","Tahoe",""
"IN APP - HAS DROPDOWN","1940-2026","Chevrolet","Tracker",""
"IN APP - HAS DROPDOWN","1940-2026","Chevrolet","Trailblazer",""
"IN APP - HAS DROPDOWN","1940-2026","Chevrolet","Traverse",""
"IN APP - HAS DROPDOWN","1940-2026","Chevrolet","Uplander",""
"IN APP - HAS DROPDOWN","1940-2026","Chevrolet","Vega",""
"IN APP - HAS DROPDOWN","1940-2026","Chevrolet","Venture",""
"IN APP - HAS DROPDOWN","1940-2026","Chevrolet","Volt",""
"IN APP - HAS DROPDOWN","1940-2026","BMW","1 Series",""
"IN APP - HAS DROPDOWN","1940-2026","BMW","2 Series",""
"IN APP - HAS DROPDOWN","1940-2026","BMW","3 Series",""
"IN APP - HAS DROPDOWN","1940-2026","BMW","4 Series",""
"IN APP - HAS DROPDOWN","1940-2026","BMW","5 Series",""
"IN APP - HAS DROPDOWN","1940-2026","BMW","6 Series",""
"IN APP - HAS DROPDOWN","1940-2026","BMW","7 Series",""
"IN APP - HAS DROPDOWN","1940-2026","BMW","8 Series",""
"IN APP - HAS DROPDOWN","1940-2026","BMW","Z3",""
"IN APP - HAS DROPDOWN","1940-2026","BMW","Z4",""
"IN APP - HAS DROPDOWN","1940-2026","BMW","Z8",""
"IN APP - HAS DROPDOWN","1940-2026","BMW","X1",""
"IN APP - HAS DROPDOWN","1940-2026","BMW","X2",""
"IN APP - HAS DROPDOWN","1940-2026","BMW","X3",""
"IN APP - HAS DROPDOWN","1940-2026","BMW","X4",""
"IN APP - HAS DROPDOWN","1940-2026","BMW","X5",""
"IN APP - HAS DROPDOWN","1940-2026","BMW","X6",""
"IN APP - HAS DROPDOWN","1940-2026","BMW","X7",""
"IN APP - HAS DROPDOWN","1940-2026","BMW","XM",""
"IN APP - HAS DROPDOWN","1940-2026","BMW","i3",""
"IN APP - HAS DROPDOWN","1940-2026","BMW","i4",""
"IN APP - HAS DROPDOWN","1940-2026","BMW","i5",""
"IN APP - HAS DROPDOWN","1940-2026","BMW","i7",""
"IN APP - HAS DROPDOWN","1940-2026","BMW","i8",""
"IN APP - HAS DROPDOWN","1940-2026","BMW","iX",""
"IN APP - HAS DROPDOWN","1940-2026","BMW","iX1",""
"IN APP - HAS DROPDOWN","1940-2026","BMW","iX3",""
"IN APP - HAS DROPDOWN","1940-2026","BMW","M1",""
"IN APP - HAS DROPDOWN","1940-2026","BMW","M2",""
"IN APP - HAS DROPDOWN","1940-2026","BMW","M3",""
"IN APP - HAS DROPDOWN","1940-2026","BMW","M4",""
"IN APP - HAS DROPDOWN","1940-2026","BMW","M5",""
"IN APP - HAS DROPDOWN","1940-2026","BMW","M6",""
"IN APP - HAS DROPDOWN","1940-2026","BMW","M8",""
"IN APP - HAS DROPDOWN","1940-2026","BMW","X3M",""
"IN APP - HAS DROPDOWN","1940-2026","BMW","X4M",""
"IN APP - HAS DROPDOWN","1940-2026","BMW","X5M",""
"IN APP - HAS DROPDOWN","1940-2026","BMW","X6M",""
"IN APP - HAS DROPDOWN","1940-2026","Audi","A3",""
"IN APP - HAS DROPDOWN","1940-2026","Audi","A4",""
"IN APP - HAS DROPDOWN","1940-2026","Audi","A4 allroad",""
"IN APP - HAS DROPDOWN","1940-2026","Audi","A5",""
"IN APP - HAS DROPDOWN","1940-2026","Audi","A5 Cabriolet",""
"IN APP - HAS DROPDOWN","1940-2026","Audi","A6",""
"IN APP - HAS DROPDOWN","1940-2026","Audi","A7",""
"IN APP - HAS DROPDOWN","1940-2026","Audi","A8",""
"IN APP - HAS DROPDOWN","1940-2026","Audi","e-tron",""
"IN APP - HAS DROPDOWN","1940-2026","Audi","e-tron GT",""
"IN APP - HAS DROPDOWN","1940-2026","Audi","Q3",""
"IN APP - HAS DROPDOWN","1940-2026","Audi","Q4 e-tron",""
"IN APP - HAS DROPDOWN","1940-2026","Audi","Q5",""
"IN APP - HAS DROPDOWN","1940-2026","Audi","Q5 Sportback",""
"IN APP - HAS DROPDOWN","1940-2026","Audi","Q7",""
"IN APP - HAS DROPDOWN","1940-2026","Audi","Q8",""
"IN APP - HAS DROPDOWN","1940-2026","Audi","Q8 e-tron",""
"IN APP - HAS DROPDOWN","1940-2026","Audi","R8",""
"IN APP - HAS DROPDOWN","1940-2026","Audi","RS3",""
"IN APP - HAS DROPDOWN","1940-2026","Audi","RS4",""
"IN APP - HAS DROPDOWN","1940-2026","Audi","RS5",""
"IN APP - HAS DROPDOWN","1940-2026","Audi","RS6 Avant",""
"IN APP - HAS DROPDOWN","1940-2026","Audi","RS7",""
"IN APP - HAS DROPDOWN","1940-2026","Audi","RS e-tron GT",""
"IN APP - HAS DROPDOWN","1940-2026","Audi","RS Q3",""
"IN APP - HAS DROPDOWN","1940-2026","Audi","RS Q8",""
"IN APP - HAS DROPDOWN","1940-2026","Audi","S3",""
"IN APP - HAS DROPDOWN","1940-2026","Audi","S4",""
"IN APP - HAS DROPDOWN","1940-2026","Audi","S5",""
"IN APP - HAS DROPDOWN","1940-2026","Audi","S5 Cabriolet",""
"IN APP - HAS DROPDOWN","1940-2026","Audi","S6",""
"IN APP - HAS DROPDOWN","1940-2026","Audi","S7",""
"IN APP - HAS DROPDOWN","1940-2026","Audi","S8",""
"IN APP - HAS DROPDOWN","1940-2026","Audi","SQ5",""
"IN APP - HAS DROPDOWN","1940-2026","Audi","SQ7",""
"IN APP - HAS DROPDOWN","1940-2026","Audi","SQ8",""
"IN APP - HAS DROPDOWN","1940-2026","Audi","TT",""
"IN APP - HAS DROPDOWN","1940-2026","Audi","TTS",""
"IN APP - HAS DROPDOWN","1940-2026","Audi","TT RS",""
"IN APP - HAS DROPDOWN","1940-2026","Tesla","Cybertruck",""
"IN APP - HAS DROPDOWN","1940-2026","Tesla","Model 3",""
"IN APP - HAS DROPDOWN","1940-2026","Tesla","Model S",""
"IN APP - HAS DROPDOWN","1940-2026","Tesla","Model X",""
"IN APP - HAS DROPDOWN","1940-2026","Tesla","Model Y",""
"IN APP - HAS DROPDOWN","1940-2026","RAM","1500",""
"IN APP - HAS DROPDOWN","1940-2026","RAM","2500",""
"IN APP - HAS DROPDOWN","1940-2026","RAM","3500",""
"IN APP - HAS DROPDOWN","1940-2026","RAM","ProMaster",""
"IN APP - HAS DROPDOWN","1940-2026","Ram","4500 Cutaway",""
"IN APP - HAS DROPDOWN","1940-2026","Ram","5500 Cutaway",""
"IN APP - HAS DROPDOWN","1940-2026","Ram","ProMaster 1500 Cargo Van",""
"IN APP - HAS DROPDOWN","1940-2026","Ram","ProMaster 2500 Cargo Van",""
"IN APP - HAS DROPDOWN","1940-2026","Ram","ProMaster 3500 Cargo Van",""
"IN APP - HAS DROPDOWN","1940-2026","Ram","ProMaster Cutaway",""
"IN APP - HAS DROPDOWN","1940-2026","GMC","Acadia",""
"IN APP - HAS DROPDOWN","1940-2026","GMC","Canyon",""
"IN APP - HAS DROPDOWN","1940-2026","GMC","Envoy",""
"IN APP - HAS DROPDOWN","1940-2026","GMC","Hummer EV",""
"IN APP - HAS DROPDOWN","1940-2026","GMC","Hummer EV SUV",""
"IN APP - HAS DROPDOWN","1940-2026","GMC","Jimmy",""
"IN APP - HAS DROPDOWN","1940-2026","GMC","Safari",""
"IN APP - HAS DROPDOWN","1940-2026","GMC","Savana 3500 Cutaway",""
"IN APP - HAS DROPDOWN","1940-2026","GMC","Savana 4500 Cutaway",""
"IN APP - HAS DROPDOWN","1940-2026","GMC","Savana Cargo Van",""
"IN APP - HAS DROPDOWN","1940-2026","GMC","Savana Passenger Van",""
"IN APP - HAS DROPDOWN","1940-2026","GMC","Sierra",""
"IN APP - HAS DROPDOWN","1940-2026","GMC","Sierra 1500",""
"IN APP - HAS DROPDOWN","1940-2026","GMC","Sierra 2500 HD",""
"IN APP - HAS DROPDOWN","1940-2026","GMC","Sierra 3500 HD",""
"IN APP - HAS DROPDOWN","1940-2026","GMC","Sierra EV",""
"IN APP - HAS DROPDOWN","1940-2026","GMC","Sonoma",""
"IN APP - HAS DROPDOWN","1940-2026","GMC","Syclone",""
"IN APP - HAS DROPDOWN","1940-2026","GMC","Terrain",""
"IN APP - HAS DROPDOWN","1940-2026","GMC","Typhoon",""
"IN APP - HAS DROPDOWN","1940-2026","GMC","Yukon",""
"IN APP - HAS DROPDOWN","1940-2026","GMC","Yukon XL",""
"IN APP - HAS DROPDOWN","1940-2026","Nissan","Altima",""
"IN APP - HAS DROPDOWN","1940-2026","Nissan","Altima Coupe",""
"IN APP - HAS DROPDOWN","1940-2026","Nissan","Armada",""
"IN APP - HAS DROPDOWN","1940-2026","Nissan","Cube",""
"IN APP - HAS DROPDOWN","1940-2026","Nissan","Frontier",""
"IN APP - HAS DROPDOWN","1940-2026","Nissan","GT-R",""
"IN APP - HAS DROPDOWN","1940-2026","Nissan","Juke",""
"IN APP - HAS DROPDOWN","1940-2026","Nissan","Kicks",""
"IN APP - HAS DROPDOWN","1940-2026","Nissan","Leaf",""
"IN APP - HAS DROPDOWN","1940-2026","Nissan","Maxima",""
"IN APP - HAS DROPDOWN","1940-2026","Nissan","Murano",""
"IN APP - HAS DROPDOWN","1940-2026","Nissan","Murano CrossCabriolet",""
"IN APP - HAS DROPDOWN","1940-2026","Nissan","NV200",""
"IN APP - HAS DROPDOWN","1940-2026","Nissan","NV1500 Cargo Van",""
"IN APP - HAS DROPDOWN","1940-2026","Nissan","NV2500 HD Cargo Van",""
"IN APP - HAS DROPDOWN","1940-2026","Nissan","NV3500 HD Cargo Van",""
"IN APP - HAS DROPDOWN","1940-2026","Nissan","Pathfinder",""
"IN APP - HAS DROPDOWN","1940-2026","Nissan","Quest",""
"IN APP - HAS DROPDOWN","1940-2026","Nissan","Rogue",""
"IN APP - HAS DROPDOWN","1940-2026","Nissan","Rogue Sport",""
"IN APP - HAS DROPDOWN","1940-2026","Nissan","Sentra",""
"IN APP - HAS DROPDOWN","1940-2026","Nissan","Titan",""
"IN APP - HAS DROPDOWN","1940-2026","Nissan","Titan XD",""
"IN APP - HAS DROPDOWN","1940-2026","Nissan","Versa",""
"IN APP - HAS DROPDOWN","1940-2026","Nissan","Xterra",""
"IN APP - HAS DROPDOWN","1940-2026","Nissan","Z (350Z, 370Z, 400Z)",""
"IN APP - HAS DROPDOWN","1940-2026","Nissan","240SX",""
"IN APP - HAS DROPDOWN","1940-2026","Nissan","300ZX",""
"IN APP - HAS DROPDOWN","1940-2026","Jeep","Cherokee",""
"IN APP - HAS DROPDOWN","1940-2026","Jeep","CJ-5",""
"IN APP - HAS DROPDOWN","1940-2026","Jeep","CJ-7",""
"IN APP - HAS DROPDOWN","1940-2026","Jeep","Comanche",""
"IN APP - HAS DROPDOWN","1940-2026","Jeep","Commander",""
"IN APP - HAS DROPDOWN","1940-2026","Jeep","Compass",""
"IN APP - HAS DROPDOWN","1940-2026","Jeep","Gladiator",""
"IN APP - HAS DROPDOWN","1940-2026","Jeep","Grand Cherokee",""
"IN APP - HAS DROPDOWN","1940-2026","Jeep","Grand Cherokee 4xe",""
"IN APP - HAS DROPDOWN","1940-2026","Jeep","Grand Cherokee L",""
"IN APP - HAS DROPDOWN","1940-2026","Jeep","Grand Cherokee SRT",""
"IN APP - HAS DROPDOWN","1940-2026","Jeep","Grand Wagoneer",""
"IN APP - HAS DROPDOWN","1940-2026","Jeep","Grand Wagoneer L",""
"IN APP - HAS DROPDOWN","1940-2026","Jeep","Liberty",""
"IN APP - HAS DROPDOWN","1940-2026","Jeep","Patriot",""
"IN APP - HAS DROPDOWN","1940-2026","Jeep","Renegade",""
"IN APP - HAS DROPDOWN","1940-2026","Jeep","Scrambler",""
"IN APP - HAS DROPDOWN","1940-2026","Jeep","Trackhawk",""
"IN APP - HAS DROPDOWN","1940-2026","Jeep","Wagoneer",""
"IN APP - HAS DROPDOWN","1940-2026","Jeep","Wagoneer L",""
"IN APP - HAS DROPDOWN","1940-2026","Jeep","Wrangler",""
"IN APP - HAS DROPDOWN","1940-2026","Jeep","Wrangler 4xe",""
"IN APP - HAS DROPDOWN","1940-2026","Jeep","Wrangler Unlimited",""
"IN APP - HAS DROPDOWN","1940-2026","Hyundai","Accent",""
"IN APP - HAS DROPDOWN","1940-2026","Hyundai","Azera",""
"IN APP - HAS DROPDOWN","1940-2026","Hyundai","Elantra",""
"IN APP - HAS DROPDOWN","1940-2026","Hyundai","Entourage",""
"IN APP - HAS DROPDOWN","1940-2026","Hyundai","Genesis",""
"IN APP - HAS DROPDOWN","1940-2026","Hyundai","Genesis Coupe",""
"IN APP - HAS DROPDOWN","1940-2026","Hyundai","Ioniq",""
"IN APP - HAS DROPDOWN","1940-2026","Hyundai","Ioniq 5",""
"IN APP - HAS DROPDOWN","1940-2026","Hyundai","Ioniq 6",""
"IN APP - HAS DROPDOWN","1940-2026","Hyundai","Kona",""
"IN APP - HAS DROPDOWN","1940-2026","Hyundai","Kona Electric",""
"IN APP - HAS DROPDOWN","1940-2026","Hyundai","Kona N",""
"IN APP - HAS DROPDOWN","1940-2026","Hyundai","Nexo",""
"IN APP - HAS DROPDOWN","1940-2026","Hyundai","Palisade",""
"IN APP - HAS DROPDOWN","1940-2026","Hyundai","Santa Fe",""
"IN APP - HAS DROPDOWN","1940-2026","Hyundai","Santa Fe Hybrid",""
"IN APP - HAS DROPDOWN","1940-2026","Hyundai","Santa Fe Plug-In Hybrid",""
"IN APP - HAS DROPDOWN","1940-2026","Hyundai","Sonata",""
"IN APP - HAS DROPDOWN","1940-2026","Hyundai","Tiburon",""
"IN APP - HAS DROPDOWN","1940-2026","Hyundai","Tucson",""
"IN APP - HAS DROPDOWN","1940-2026","Hyundai","Tucson Hybrid",""
"IN APP - HAS DROPDOWN","1940-2026","Hyundai","Tucson Plug-In Hybrid",""
"IN APP - HAS DROPDOWN","1940-2026","Hyundai","Veloster",""
"IN APP - HAS DROPDOWN","1940-2026","Hyundai","Veloster N",""
"IN APP - HAS DROPDOWN","1940-2026","Hyundai","Venue",""
"IN APP - HAS DROPDOWN","1940-2026","Kia","Amanti",""
"IN APP - HAS DROPDOWN","1940-2026","Kia","Bongo",""
"IN APP - HAS DROPDOWN","1940-2026","Kia","Borrego",""
"IN APP - HAS DROPDOWN","1940-2026","Kia","Cadenza",""
"IN APP - HAS DROPDOWN","1940-2026","Kia","Carnival",""
"IN APP - HAS DROPDOWN","1940-2026","Kia","EV5",""
"IN APP - HAS DROPDOWN","1940-2026","Kia","EV6",""
"IN APP - HAS DROPDOWN","1940-2026","Kia","EV9",""
"IN APP - HAS DROPDOWN","1940-2026","Kia","Forte",""
"IN APP - HAS DROPDOWN","1940-2026","Kia","K5",""
"IN APP - HAS DROPDOWN","1940-2026","Kia","K900",""
"IN APP - HAS DROPDOWN","1940-2026","Kia","Mohave",""
"IN APP - HAS DROPDOWN","1940-2026","Kia","Niro",""
"IN APP - HAS DROPDOWN","1940-2026","Kia","Niro EV",""
"IN APP - HAS DROPDOWN","1940-2026","Kia","Niro Hybrid",""
"IN APP - HAS DROPDOWN","1940-2026","Kia","Niro PHEV",""
"IN APP - HAS DROPDOWN","1940-2026","Kia","Optima",""
"IN APP - HAS DROPDOWN","1940-2026","Kia","Optima Hybrid",""
"IN APP - HAS DROPDOWN","1940-2026","Kia","Optima PHEV",""
"IN APP - HAS DROPDOWN","1940-2026","Kia","Rio",""
"IN APP - HAS DROPDOWN","1940-2026","Kia","Rondo",""
"IN APP - HAS DROPDOWN","1940-2026","Kia","Sedona",""
"IN APP - HAS DROPDOWN","1940-2026","Kia","Seltos",""
"IN APP - HAS DROPDOWN","1940-2026","Kia","Sorento",""
"IN APP - HAS DROPDOWN","1940-2026","Kia","Sorento Hybrid",""
"IN APP - HAS DROPDOWN","1940-2026","Kia","Sorento PHEV",""
"IN APP - HAS DROPDOWN","1940-2026","Kia","Soul",""
"IN APP - HAS DROPDOWN","1940-2026","Kia","Soul EV",""
"IN APP - HAS DROPDOWN","1940-2026","Kia","Spectra",""
"IN APP - HAS DROPDOWN","1940-2026","Kia","Sportage",""
